Experiment Id
Time and Date
FrameId	Timestamp	HeadX	HeadY	HeadZ	ShoulderCenterX	ShoulderCenterY	ShoulderCenterZ	SpineX	SpineY	SpineZ	HipCenterX	HipCenterY	HipCenterZ	ShoulderLeftX	ShoulderLeftY	ShoulderLeftZ	ElbowLeftX	ElbowLeftY	ElbowLeftZ	WristLeftX	WristLeftY	WristLeftZ	HandLeftX	HandLeftY	HandLeftZ	ShoulderRightX	ShoulderRightY	ShoulderRightZ	ElbowRightX	ElbowRightY	ElbowRightZ	WristRightX	WristRightY	WristRightZ	HandRightX	HandRightY	HandRightZ	HipLeftX	HipLeftY	HipLeftZ	KneeLeftX	KneeLeftY	KneeLeftZ	AnkleLeftX	AnkleLeftY	AnkleLeftZ	FootLeftX	FootLeftY	FootLeftZ	HipRightX	HipRightY	HipRightZ	KneeRightX	KneeRightY	KneeRightZ	AnkleRightX	AnkleRightY	AnkleRightZ	FootRightX	FootRightY	FootRightZ	AngleWristElbowShoulderRight	AngleShoulderElbowRightToBody	AngleShoulderElbowRightToY	AngleElbowWristRightToY	LinearWristRight5IncFrames	LinearWristRight10IncFrames	LinearWristRight20IncFrames	LinearWristRight5GapFrames	LinearWristRight10GapFrames	LinearWristRight20GapFrames	LinearElbowRight5IncFrames	LinearElbowRight10IncFrames	LinearElbowRight20IncFrames	LinearElbowRight5GapFrames	LinearElbowRight10GapFrames	LinearElbowRight20GapFrames	Marker
455	15126	-0.05267299	0.3844223	1.19336	-0.05449203	0.2180729	1.232208	-0.061962	-0.08511963	1.228502	-0.06074617	-0.1360651	1.17828	-0.2229727	0.12138	1.234158	-0.3341193	-0.08162767	1.263161	-0.3076574	-0.2603657	1.201388	-0.2959078	-0.3233097	1.178249	0.1089996	0.1208603	1.250721	0.2379181	-0.077713	1.275895	0.4031907	-0.04409659	1.182163	0.513963	-0.01708362	1.150659	-0.1347036	-0.2082384	1.166038	-0.3693077	-0.5224081	1.219245	-0.5533057	-0.7688088	1.246824	-0.5876179	-0.8046546	1.171997	0.01098002	-0.2105024	1.163478	0.1397283	-0.5781131	1.230722	0.2407045	-0.8664271	1.269312	0.266739	-0.9125454	1.196809	105.49351780060006	34.70108243400818	33.48406191321653	100.03332234042838	0.017491145829385324	0.022699155119430648	0.08397806024887931	0.015175745230209745	0.010509670772633165	0.07326908059996833	0.017567124017536212	0.017553981645381165	0.05254724835135588	0.009687555632400964	0.008705363990082428	0.04142645712712436	true
456	15162	-0.05266139	0.3845146	1.193361	-0.05447115	0.2180661	1.232184	-0.06193056	-0.08508991	1.228519	-0.06070341	-0.1360288	1.178309	-0.2229705	0.1213805	1.234162	-0.3340337	-0.08169203	1.263144	-0.3074251	-0.2604567	1.20145	-0.2959041	-0.3233918	1.178138	0.109066	0.1209004	1.250778	0.2376377	-0.07826076	1.275486	0.4025803	-0.04392175	1.181331	0.5123163	-0.01660405	1.148301	-0.1346761	-0.2082239	1.166058	-0.3698313	-0.5223753	1.217573	-0.5542557	-0.7687538	1.243823	-0.5883681	-0.8042438	1.168728	0.01102021	-0.2104823	1.163517	0.1402964	-0.5778832	1.231061	0.2416834	-0.8660235	1.269883	0.2678335	-0.9121571	1.197423	105.17509531661902	34.52885873112418	33.320062442593425	100.24857113352981	0.023607956112647967	0.019430243026493387	0.07432644985687986	0.021127711480590155	0.00525627471176635	0.06147428748835522	0.020615523357536133	0.016305845222678386	0.049670744198100504	0.014017373554402376	0.00753891252760562	0.039297868879008324	true
457	15194	-0.05263485	0.3845616	1.193339	-0.05441808	0.2180675	1.232159	-0.06187163	-0.085056	1.228542	-0.06063943	-0.1359936	1.178343	-0.2229669	0.1213862	1.234173	-0.3340494	-0.08168865	1.263196	-0.3073049	-0.2604548	1.201487	-0.2959486	-0.3234097	1.178117	0.1091269	0.1208987	1.250819	0.2361677	-0.07900418	1.27529	0.4004371	-0.04360778	1.180184	0.5087175	-0.01642342	1.145531	-0.1346403	-0.2082071	1.166075	-0.3732176	-0.5189165	1.221847	-0.5603199	-0.7625878	1.251436	-0.5956166	-0.7983264	1.177	0.01108896	-0.2104723	1.163572	0.1402762	-0.5779614	1.231038	0.2415902	-0.8661617	1.269798	0.2677197	-0.9122851	1.197316	104.44078399386063	34.115145610285644	32.91074849200275	100.56312121106053	0.041226907924283004	0.024095526111632726	0.06512335166458114	0.037005436226498205	0.01390076464766161	0.04789767011360063	0.03227082433160531	0.0190589915102586	0.03305419080761818	0.025311605102252555	0.01203067305898511	0.021075964028438022	true
458	15230	-0.05258091	0.3845918	1.193326	-0.05435206	0.218053	1.232151	-0.06181306	-0.08504365	1.228569	-0.06058189	-0.1359807	1.178376	-0.2229582	0.1213863	1.234188	-0.334068	-0.08172747	1.2633	-0.3072278	-0.2605042	1.201595	-0.2959369	-0.3234655	1.17818	0.1091827	0.1209344	1.250862	0.2393853	-0.07348678	1.270201	0.4045112	-0.04214149	1.175115	0.5062375	-0.01545337	1.141499	-0.1345982	-0.208206	1.166102	-0.3307666	-0.5507081	1.201983	-0.4846051	-0.8193039	1.21597	-0.510716	-0.856683	1.138601	0.01113582	-0.2104737	1.163604	0.2020635	-0.534674	1.280143	0.3517922	-0.7889173	1.357384	0.3946392	-0.8379358	1.295528	107.41107038090728	35.23996698814313	34.09958406300521	99.34161601861466	0.08511512371685534	0.043547104602311905	0.06722809692060505	0.06184733221260834	0.02598714339643139	0.03606520587662177	0.08766936665706088	0.04468511950862022	0.04151217406721796	0.05634761445801602	0.02132197297739789	0.010909141917324814	true
459	15262	-0.05257632	0.3845921	1.193326	-0.0543211	0.2180595	1.232156	-0.06174854	-0.0850424	1.228603	-0.06051342	-0.1359863	1.178417	-0.222929	0.1213707	1.234212	-0.3340447	-0.08177558	1.263363	-0.3072377	-0.2605967	1.201719	-0.2960648	-0.3235683	1.178247	0.1092426	0.1208953	1.250886	0.2403182	-0.07134242	1.268143	0.4040472	-0.04108147	1.169902	0.5016737	-0.01440765	1.135173	-0.1345468	-0.2082091	1.166133	-0.3533524	-0.5356907	1.208829	-0.524938	-0.7924991	1.228159	-0.5552827	-0.8286164	1.151734	0.01122226	-0.2105067	1.16366	0.1361427	-0.5802676	1.227708	0.2341043	-0.8702312	1.263782	0.259244	-0.9159893	1.190704	108.01355049716956	35.62530727527624	34.517283010267214	99.00552097384274	0.11400047726725254	0.05983513358833743	0.06552558323842915	0.09305368918741752	0.04513349176855508	0.020088363782103262	0.10058427700389638	0.05391032349406266	0.044478746193681355	0.07585950463500829	0.032422677208398275	0.01087674164490344	false
460	15298	-0.05254904	0.3843561	1.193384	-0.05423666	0.2179922	1.232156	-0.061691	-0.08507425	1.228632	-0.06046895	-0.1360154	1.178449	-0.2229199	0.1213641	1.234255	-0.334052	-0.08181307	1.263485	-0.3071242	-0.260642	1.201854	-0.2960134	-0.3236094	1.178317	0.1092806	0.1207774	1.250873	0.2333987	-0.07609743	1.270896	0.3941207	-0.04150582	1.168672	0.4951383	-0.01388372	1.128496	-0.1345212	-0.2082321	1.166159	-0.2631471	-0.5842778	1.167819	-0.3640113	-0.8791605	1.154969	-0.377393	-0.9151645	1.073778	0.01126813	-0.2105606	1.163699	0.2018222	-0.5358623	1.278223	0.3512484	-0.7909533	1.353877	0.393665	-0.8396321	1.291439	104.19765758722741	33.71346552879363	32.561998866244494	100.29305748659625	0.17991818056252337	0.09251447940387998	0.07413229588249519	0.11335264901518495	0.060019485168439184	0.005867738096498508	0.16011929571475877	0.0825456593296634	0.055478366511212636	0.04861690958442294	0.025137595450926722	0.006326617870634038	false
461	15330	-0.05251852	0.3843227	1.193427	-0.05422611	0.217982	1.23216	-0.06165745	-0.08509852	1.228661	-0.06045051	-0.1360475	1.178483	-0.2229154	0.1213627	1.234314	-0.334073	-0.08179064	1.263645	-0.3070061	-0.2606943	1.202289	-0.296035	-0.3235646	1.178403	0.1092892	0.1206298	1.250794	0.2345397	-0.07177799	1.267216	0.3932683	-0.04065874	1.160282	0.4861206	-0.0136945	1.121189	-0.1345012	-0.2082582	1.166206	-0.3678924	-0.5251424	1.211507	-0.5509044	-0.7736248	1.232877	-0.5837811	-0.8083199	1.156826	0.01127879	-0.2106174	1.163731	0.2017158	-0.5361311	1.278002	0.3510455	-0.7913802	1.353455	0.3933751	-0.8400499	1.290941	105.78025189108959	34.39539815035983	33.28630758090571	99.23530537821894	0.22421676153278589	0.12020249473630645	0.08143699041273028	0.157046522424204	0.08595688867421339	0.01674736407570111	0.19048080726265273	0.10095183651031563	0.061732543411039925	0.08056679147801914	0.03771684597908531	0.008326282313964548	false
462	15362	-0.05260059	0.3840356	1.193558	-0.0541428	0.2179364	1.232176	-0.06161519	-0.08510245	1.228695	-0.06043264	-0.1360477	1.17852	-0.2228973	0.1213867	1.234446	-0.3339628	-0.08186967	1.263798	-0.3067929	-0.2607977	1.20252	-0.2961803	-0.32371	1.178558	0.1092988	0.1206417	1.250799	0.234487	-0.06987073	1.2653	0.389941	-0.04029347	1.152595	0.4768372	-0.01372229	1.113304	-0.1344795	-0.2082593	1.16629	-0.3679681	-0.5251357	1.211493	-0.5510507	-0.773604	1.232786	-0.5839422	-0.8082573	1.156714	0.01127784	-0.2106219	1.16374	0.2017312	-0.5361764	1.277997	0.351069	-0.7914494	1.353435	0.3933761	-0.8401399	1.290913	105.94602899552416	34.562799884682995	33.484903849243544	98.75696210227784	0.24402338986156494	0.14773200667770675	0.08932417098944463	0.20368172096441858	0.11359548960077608	0.03587686446989262	0.15486978341124288	0.10956370780508269	0.06362347755665697	0.05921168770413821	0.04632891031018175	0.014768375319777113	false
463	15398	-0.05259483	0.3840651	1.193604	-0.05408323	0.2179096	1.232201	-0.0615622	-0.08510286	1.228727	-0.06039556	-0.1360433	1.178552	-0.2228857	0.1213805	1.234536	-0.3339947	-0.08187763	1.26408	-0.3121569	-0.2630678	1.208708	-0.3016925	-0.2889215	1.189958	0.1093327	0.1206185	1.250808	0.2338442	-0.0687077	1.263736	0.3856744	-0.0402732	1.145305	0.4673527	-0.01341387	1.104379	-0.1344528	-0.2082596	1.166319	-0.3376884	-0.546568	1.204035	-0.497044	-0.8118334	1.219456	-0.5244706	-0.8487982	1.142305	0.01130182	-0.2106299	1.16376	0.1389258	-0.5793806	1.228985	0.2389949	-0.8685155	1.265975	0.2645789	-0.9143401	1.193061	105.74776484022911	34.52909699553863	33.47233498319847	98.40003282185647	0.2596912198522416	0.17182086083585665	0.0978345541835302	0.22582335526450895	0.1386955420670292	0.053041951344894714	0.14249995246178904	0.11321757619604714	0.0647740143470675	0.060756865951875336	0.05312026751086729	0.01914930472232085	false
464	15430	-0.05260456	0.3842455	1.193667	-0.05396359	0.217932	1.232213	-0.06146814	-0.0850698	1.228773	-0.06034302	-0.1360122	1.178602	-0.2228867	0.1214065	1.234769	-0.3339145	-0.08193558	1.264292	-0.3125464	-0.2633403	1.209527	-0.3017137	-0.2889784	1.190053	0.1093323	0.1206478	1.250811	0.2297458	-0.06735355	1.263127	0.3775257	-0.04122222	1.138556	0.4565594	-0.01436603	1.094813	-0.1344088	-0.2082315	1.166391	-0.3350332	-0.5482447	1.203372	-0.4923364	-0.8148383	1.218214	-0.5193214	-0.8519199	1.140956	0.01132739	-0.2106113	1.163788	0.1383761	-0.5796345	1.228848	0.237991	-0.868974	1.265707	0.2634153	-0.9148391	1.192755	105.08257912903198	33.82318623010652	32.77482172701486	97.69969798497326	0.27219489778812866	0.20212238047051204	0.11111255402090854	0.26050560849860543	0.16671254739877847	0.07314209422666401	0.11290468677143214	0.123087251902906	0.07032372556297715	0.09283208477294866	0.06039804374694263	0.02519678395812521	false
465	15462	-0.05262494	0.3845589	1.193796	-0.05388201	0.2179502	1.23225	-0.061375	-0.08506937	1.228821	-0.06029273	-0.1360154	1.178649	-0.2228839	0.1214338	1.235001	-0.3338374	-0.08206104	1.264522	-0.3074651	-0.2624037	1.208038	-0.2966375	-0.3241588	1.181131	0.1093014	0.1206252	1.250764	0.2263342	-0.06683759	1.262577	0.3690175	-0.04185368	1.131346	0.4443092	-0.01387393	1.085442	-0.1343606	-0.2082254	1.166461	-0.3512021	-0.5373478	1.208733	-0.5212154	-0.7953942	1.227722	-0.5513276	-0.8315879	1.151195	0.01135719	-0.2106147	1.163811	0.1386057	-0.579576	1.229027	0.2383741	-0.8688579	1.266006	0.2637838	-0.9147696	1.19307	103.99995137027263	33.147173614755786	32.107081658431305	97.34373002305675	0.29260798063969773	0.23856250552820837	0.12552896546252132	0.28616127191628005	0.2008105431706683	0.09314579815702695	0.0955249780962321	0.13391199659534186	0.07295642286880152	0.0806233261477281	0.06871035876124386	0.03052837083086558	false
466	15498	-0.0526183	0.3845662	1.193881	-0.05384856	0.2179125	1.232272	-0.06130987	-0.08508666	1.228867	-0.06025062	-0.1360304	1.178699	-0.2228142	0.1214655	1.235164	-0.3338976	-0.0820492	1.26474	-0.3056005	-0.261781	1.20694	-0.2964338	-0.32383	1.180058	0.10928	0.1206628	1.250752	0.2206893	-0.06643957	1.262417	0.3600329	-0.04326206	1.126931	0.4327294	-0.01513439	1.077537	-0.1342935	-0.2082251	1.166547	-0.3545512	-0.5350054	1.209476	-0.5272375	-0.7912074	1.228979	-0.5579672	-0.8270859	1.152541	0.01137466	-0.2106204	1.163838	0.1997341	-0.5387305	1.275044	0.3474115	-0.7959752	1.348078	0.3887121	-0.8445221	1.284739	103.00759887267553	31.95298879751496	30.908986982042215	96.8006731516796	0.2966869477263191	0.26061537844765154	0.13758988459370694	0.2905991629321563	0.21989094297462095	0.10949423720731488	0.1144595556132246	0.1453153391222087	0.07975869299077691	0.10667115118845127	0.07806278131957017	0.03752469056109359	false
467	15530	-0.05257295	0.3847654	1.194086	-0.05383999	0.2179005	1.232286	-0.06126707	-0.08508545	1.228904	-0.060227	-0.1360277	1.17874	-0.2227829	0.1214789	1.235311	-0.3339698	-0.08197244	1.265002	-0.2921165	-0.2686976	1.199304	-0.3196996	-0.3262005	1.175061	0.1092624	0.1206673	1.250737	0.21497	-0.06493257	1.263239	0.349299	-0.04409203	1.121905	0.418665	-0.01568083	1.068878	-0.1342588	-0.2082113	1.166613	-0.340356	-0.5447649	1.205432	-0.5019339	-0.8086194	1.221712	-0.5300537	-0.8453851	1.144693	0.01138818	-0.2106149	1.163864	0.199734	-0.5387671	1.275023	0.3473952	-0.7960349	1.348016	0.388656	-0.8446022	1.284666	101.77870854127336	30.905636301334	29.8349239548446	96.1007370838885	0.3316966899565449	0.2814728264762401	0.1554441239992016	0.3289408584658941	0.25567982876010287	0.12876915652396165	0.14761788211801963	0.13993556579272215	0.08827323313975004	0.14586708408284016	0.08930290693377972	0.04584508279721253	false
468	15562	-0.05258995	0.3844485	1.194398	-0.0537345	0.2177778	1.232403	-0.06113041	-0.08517431	1.228984	-0.0601235	-0.1361007	1.178812	-0.2227498	0.1214509	1.235452	-0.3338193	-0.08201767	1.265195	-0.2991396	-0.2600736	1.205225	-0.300219	-0.3226041	1.177951	0.1091884	0.120637	1.250656	0.2132017	-0.06486563	1.262261	0.341105	-0.0436928	1.11461	0.4038905	-0.01638313	1.060335	-0.1341386	-0.2082533	1.166709	-0.3518352	-0.5368652	1.209277	-0.5225017	-0.7944854	1.228494	-0.5528685	-0.8305631	1.151997	0.01145342	-0.2106613	1.163893	0.199779	-0.5388815	1.275017	0.3474196	-0.7961947	1.34798	0.3886441	-0.8448008	1.284627	100.55000469511934	30.48402752651858	29.43124890146637	96.18592868179589	0.3343856162347874	0.3002668003256042	0.17165197855550327	0.33073904968543155	0.2793990545042638	0.1470988078212027	0.12991162311117935	0.13629132385543063	0.09083552020988925	0.12691303491246797	0.09497668163841881	0.04928645349098427	false
