experimentId
2013.07.02 17:46:54
FrameId	Timestamp	HeadX	HeadY	HeadZ	ShoulderCenterX	ShoulderCenterY	ShoulderCenterZ	SpineX	SpineY	SpineZ	HipCenterX	HipCenterY	HipCenterZ	ShoulderLeftX	ShoulderLeftY	ShoulderLeftZ	ElbowLeftX	ElbowLeftY	ElbowLeftZ	WristLeftX	WristLeftY	WristLeftZ	HandLeftX	HandLeftY	HandLeftZ	ShoulderRightX	ShoulderRightY	ShoulderRightZ	ElbowRightX	ElbowRightY	ElbowRightZ	WristRightX	WristRightY	WristRightZ	HandRightX	HandRightY	HandRightZ	HipLeftX	HipLeftY	HipLeftZ	KneeLeftX	KneeLeftY	KneeLeftZ	AnkleLeftX	AnkleLeftY	AnkleLeftZ	FootLeftX	FootLeftY	FootLeftZ	HipRightX	HipRightY	HipRightZ	KneeRightX	KneeRightY	KneeRightZ	AnkleRightX	AnkleRightY	AnkleRightZ	FootRightX	FootRightY	FootRightZ	Marker1	Marker2	Marker3	Marker4	Marker5
132261	101118	0.01908449	0.7833877	2.020702	-0.09218628	0.6286149	2.09411	-0.09281792	0.2787381	2.158317	-0.0928744	0.2087877	2.174471	-0.252155	0.5275728	2.067979	-0.434971	0.3237037	2.099276	-0.3867955	0.08805512	2.080334	-0.3510094	0.001914937	2.07455	0.067336	0.5335715	2.215026	0.0809052	0.2948187	2.314473	0.116371	0.05595878	2.330089	0.1249045	-0.05772135	2.338835	-0.164904	0.1313982	2.157424	-0.2056426	-0.4743938	2.246597	-0.1979561	-0.8694903	2.315596	-0.1962962	-0.9441457	2.292031	-0.02076978	0.1311311	2.21563	0.002822409	-0.471233	2.236184	0.01985946	-0.8724402	2.304412	0.05187258	-0.9225984	2.234085	0	0	0	0	0
132262	101154	0.02519219	0.7825761	2.017801	-0.08582305	0.6289884	2.093029	-0.08787584	0.2773811	2.157618	-0.08817211	0.2071086	2.173886	-0.2449433	0.5258701	2.065725	-0.4256791	0.3200034	2.091449	-0.3844169	0.08321647	2.067137	-0.3431342	-0.0229072	2.056858	0.07608862	0.5327669	2.219376	0.08556366	0.2959271	2.317997	0.1185873	0.05590857	2.334529	0.1247613	-0.05807871	2.340928	-0.1597813	0.1297922	2.156392	-0.2041477	-0.4745387	2.247217	-0.1979466	-0.8694965	2.315579	-0.1981014	-0.9442229	2.292172	-0.01717656	0.1295126	2.215576	0.004252489	-0.4698536	2.236684	0.01951509	-0.8719299	2.304334	0.05264449	-0.9221348	2.234556	0	0	0	0	0
132263	101187	0.03170872	0.7820798	2.014455	-0.0755315	0.6289664	2.093751	-0.08132696	0.2768551	2.15781	-0.08233855	0.2064987	2.174038	-0.2361232	0.524678	2.063539	-0.4149446	0.3184755	2.083784	-0.3792414	0.08265723	2.038162	-0.3375479	-0.02224025	2.019997	0.08558194	0.5334448	2.22198	0.09004924	0.2972567	2.320305	0.120295	0.05740787	2.337342	0.1291544	-0.05609817	2.347815	-0.1548437	0.1289093	2.156026	-0.2028869	-0.4742848	2.247587	-0.1979967	-0.8690799	2.315551	-0.1988119	-0.9438437	2.292269	-0.01188053	0.1289464	2.216213	0.005805911	-0.4692738	2.237269	0.0193808	-0.8719193	2.304825	0.05336042	-0.922218	2.235521	0	0	0	0	0
132264	101222	0.03982616	0.7797135	2.011745	-0.06719255	0.6281512	2.093172	-0.07508589	0.276199	2.157249	-0.07657972	0.2058553	2.173506	-0.2269981	0.5239865	2.061426	-0.4042389	0.3155393	2.076111	-0.3646337	0.08372788	2.011248	-0.323811	-0.02085415	1.989625	0.09290689	0.534641	2.222777	0.09596363	0.297461	2.32146	0.1228058	0.06034139	2.339643	0.1344076	-0.05310871	2.347763	-0.1488482	0.1281471	2.154991	-0.2001742	-0.4768457	2.249841	-0.1974023	-0.8731564	2.317175	-0.1987484	-0.9460962	2.288702	-0.007401667	0.1284013	2.216192	0.007199216	-0.4687226	2.237451	0.01940039	-0.8718859	2.304803	0.05410436	-0.9222721	2.235918	0	0	0	0	0
132265	101254	0.04707624	0.7785035	2.009186	-0.05878604	0.6276312	2.092448	-0.07155801	0.2754332	2.15625	-0.07378193	0.2050746	2.172517	-0.2171167	0.5261832	2.058846	-0.3908878	0.3139617	2.067228	-0.3490273	0.07944065	1.98794	-0.3074443	-0.02435466	1.964097	0.09929232	0.5341694	2.222577	0.1062221	0.2866282	2.323657	0.1273026	0.04947267	2.343836	0.1352676	-0.06378435	2.357272	-0.1463949	0.1279355	2.153855	-0.1968719	-0.4759375	2.250816	-0.1967422	-0.8744959	2.317468	-0.1970902	-0.9463263	2.286268	-0.005698031	0.1276667	2.21535	0.009264466	-0.4681509	2.23751	0.01941568	-0.871727	2.304803	0.0547437	-0.9222916	2.236363	0	0	0	0	0
132266	101287	0.05501562	0.777108	2.005471	-0.04627331	0.6263207	2.092562	-0.0642762	0.2742112	2.155574	-0.06758706	0.2038741	2.171737	-0.2073969	0.5268334	2.05711	-0.3753026	0.311939	2.059073	-0.3127408	0.06521162	1.954092	-0.2850672	-0.01903459	1.935591	0.1111455	0.5294051	2.223299	0.1137892	0.2809181	2.325666	0.1375591	0.044907	2.351492	0.1417918	-0.06894031	2.361065	-0.1414658	0.1273399	2.153097	-0.1937903	-0.4764552	2.252181	-0.1968683	-0.8745357	2.317513	-0.1955673	-0.9464171	2.286449	-0.0006225279	0.126332	2.214334	0.01140316	-0.4678899	2.237243	0.01892559	-0.8711205	2.304731	0.05427605	-0.9218627	2.236431	0	0	0	0	0
132267	101322	0.06096553	0.7754703	2.003366	-0.03631127	0.6241761	2.092931	-0.05481342	0.2735622	2.15522	-0.05843792	0.203479	2.171213	-0.1984662	0.5270759	2.055323	-0.3649742	0.310492	2.052999	-0.303565	0.06793086	1.944844	-0.2638327	-0.009588117	1.909695	0.1212675	0.5278544	2.223273	0.1220789	0.281541	2.327479	0.1465815	0.04571539	2.353944	0.1504776	-0.06825735	2.362035	-0.1326105	0.1263978	2.151901	-0.190604	-0.4753975	2.252605	-0.1968879	-0.874666	2.317603	-0.1942141	-0.9472083	2.288202	0.00784099	0.1256507	2.214285	0.01371701	-0.4672497	2.236993	0.01892814	-0.8710579	2.304709	0.05442581	-0.9217896	2.236474	0	0	0	0	0
132268	101354	0.07008591	0.7750806	2.003008	-0.02794739	0.6236989	2.091917	-0.0450362	0.272645	2.154283	-0.04842614	0.2024515	2.170269	-0.1891832	0.5268197	2.054066	-0.3492356	0.3106674	2.045482	-0.2819046	0.07411855	1.928476	-0.2493191	-0.00392064	1.898105	0.1268179	0.5273815	2.221984	0.1336383	0.2773069	2.328521	0.1583136	0.04125701	2.353547	0.1699437	-0.04217694	2.344327	-0.1219479	0.1259807	2.150842	-0.1867757	-0.4751614	2.25231	-0.1965282	-0.8753744	2.317972	-0.1915608	-0.9493194	2.292638	0.01766506	0.1248729	2.213262	0.01977233	-0.465794	2.235639	0.01931982	-0.8708177	2.30456	0.05517201	-0.921483	2.236457	0	0	0	0	0
132269	101386	0.07821411	0.7752383	2.002506	-0.01812102	0.6227605	2.09141	-0.03580828	0.2711411	2.152899	-0.0393201	0.2008288	2.168696	-0.1782461	0.5272863	2.051985	-0.3382642	0.3115618	2.040003	-0.2713036	0.08356681	1.923524	-0.2273068	0.002094522	1.886789	0.1376994	0.5263411	2.220525	0.1433826	0.2794355	2.325703	0.1654728	0.04316126	2.350907	0.1810372	-0.04203117	2.338778	-0.1134204	0.1251953	2.150035	-0.1822608	-0.4747244	2.252042	-0.1964023	-0.8757712	2.318176	-0.1950081	-0.9491366	2.290784	0.02718357	0.1233677	2.210227	0.02215796	-0.4663163	2.23587	0.01968105	-0.8710079	2.305324	0.05561953	-0.9216158	2.237219	0	0	0	0	0
132270	101418	0.08786939	0.7752257	2.002192	-0.008839618	0.6216792	2.089569	-0.02580404	0.2706452	2.149797	-0.02916973	0.2004514	2.165314	-0.1658202	0.528181	2.049428	-0.3216181	0.3095011	2.033623	-0.2593755	0.09059932	1.918284	-0.2113212	0.00799221	1.878108	0.1489048	0.5243104	2.218526	0.1551109	0.2780374	2.324497	0.1776848	0.04098348	2.344375	0.1940619	-0.04278082	2.330662	-0.1026327	0.1246693	2.145487	-0.175442	-0.4761681	2.251146	-0.1957003	-0.8776636	2.318965	-0.192417	-0.951315	2.292511	0.03696438	0.1228182	2.207453	0.02821262	-0.4672402	2.236187	0.02040468	-0.870658	2.306528	0.05442844	-0.940676	2.357385	0	0	0	0	0
